Picture #,total pieces,pieces detected,percent detected
1,32,27,0.84
2,12,12,1.00
3,12,12,1.00
4,32,27,0.84
5,32,25,0.78
6,12,6,0.50
7,32,29,0.91
8,12,8,0.67
9,32,28,0.88
10,12,3,0.25
11,12,7,0.58
12,12,7,0.58
13,32,29,0.91
14,11,10,0.91
15,17,15,0.88
16,17,16,0.94
17,11,8,0.73
18,12,12,1.00
19,32,27,0.84
20,17,16,0.94
