epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8542.04,1.53723,1.2488,1.21274,0.83513,0.82386,0.89538,0.52491,1.44494,0.99325,1.20022,0.000208058,0.000208058,0.000208058
2,17568.9,1.37091,0.77629,1.14508,0.88399,0.86621,0.94376,0.57904,1.35238,0.8375,1.15828,0.000375168,0.000375168,0.000375168
3,26764,1.32756,0.71045,1.12914,0.91855,0.90418,0.96254,0.63816,1.29375,0.71237,1.14116,0.000501029,0.000501029,0.000501029
4,35903.3,1.28964,0.6422,1.11494,0.9439,0.93178,0.97471,0.64701,1.23983,0.63594,1.11606,0.000439375,0.000439375,0.000439375
5,44689.4,1.22086,0.5902,1.0869,0.95557,0.94097,0.98111,0.71212,1.08791,0.54246,1.04698,0.0003775,0.0003775,0.0003775
6,53644.9,1.1523,0.53474,1.05815,0.96158,0.94996,0.98443,0.71487,1.12483,0.5137,1.06448,0.000315625,0.000315625,0.000315625
7,64074.1,1.1038,0.49353,1.03679,0.97292,0.96115,0.98786,0.75182,0.99704,0.4545,1.00462,0.00025375,0.00025375,0.00025375
8,73899.2,1.06959,0.46465,1.02498,0.97393,0.96717,0.98955,0.76015,0.98515,0.44272,1.00711,0.000191875,0.000191875,0.000191875
9,85581,1.02945,0.43883,1.00941,0.97782,0.97385,0.99031,0.774,0.94115,0.40648,0.98825,0.00013,0.00013,0.00013
10,93996.3,0.99305,0.4089,0.99743,0.98187,0.98087,0.99154,0.78847,0.90836,0.37693,0.97188,6.8125e-05,6.8125e-05,6.8125e-05
