epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31577.3,1.19729,0.68566,0.93099,0.9494,0.94172,0.98069,0.71582,1.0257,0.5186,0.92648,0.000371313,0.000371313,0.000371313
43,32229.2,1.19261,0.67897,0.93081,0.94818,0.93593,0.97946,0.71479,1.02103,0.51877,0.92188,0.000365125,0.000365125,0.000365125
44,32881.3,1.18898,0.67757,0.9324,0.94968,0.93652,0.97891,0.70637,1.02814,0.52297,0.92541,0.000358938,0.000358938,0.000358938
45,33535.3,1.18346,0.67121,0.92868,0.94804,0.9407,0.97945,0.70957,1.02355,0.51439,0.92277,0.00035275,0.00035275,0.00035275
46,34186.4,1.18397,0.6737,0.93031,0.9505,0.94226,0.9824,0.72345,1.0006,0.50284,0.91838,0.000346563,0.000346563,0.000346563
47,34834.3,1.17988,0.66493,0.9282,0.95116,0.94175,0.98099,0.71568,1.01634,0.50963,0.92511,0.000340375,0.000340375,0.000340375
48,35484,1.17516,0.6609,0.92593,0.95671,0.94062,0.98194,0.71968,1.00798,0.50019,0.92151,0.000334188,0.000334188,0.000334188
49,36134.9,1.17372,0.6657,0.92318,0.95542,0.94003,0.98224,0.72015,1.01046,0.50424,0.92266,0.000328,0.000328,0.000328
50,36791.3,1.16951,0.65912,0.92826,0.95481,0.94104,0.9819,0.71925,1.00414,0.49752,0.92077,0.000321812,0.000321812,0.000321812
51,37441.6,1.16032,0.65381,0.9234,0.95725,0.94444,0.98306,0.72185,1.00546,0.49094,0.92139,0.000315625,0.000315625,0.000315625
52,38091.5,1.16182,0.65265,0.92595,0.95684,0.94795,0.98337,0.72503,0.99192,0.49276,0.91718,0.000309437,0.000309437,0.000309437
53,38739.4,1.15806,0.65013,0.92398,0.95649,0.94903,0.98367,0.72847,0.98776,0.48539,0.91541,0.00030325,0.00030325,0.00030325
54,39391.3,1.14515,0.64726,0.91756,0.95878,0.95084,0.98486,0.73206,0.98018,0.48083,0.91232,0.000297063,0.000297063,0.000297063
55,40040,1.15122,0.64216,0.92046,0.96265,0.94911,0.98484,0.73089,0.98676,0.47844,0.91448,0.000290875,0.000290875,0.000290875
56,40690,1.14902,0.64557,0.92077,0.96152,0.94795,0.98403,0.73107,0.97994,0.4793,0.9133,0.000284688,0.000284688,0.000284688
57,41332.2,1.14478,0.64002,0.91851,0.96112,0.95138,0.98547,0.73441,0.97777,0.47765,0.91402,0.0002785,0.0002785,0.0002785
58,41975,1.13924,0.62925,0.91884,0.96311,0.95356,0.98616,0.7392,0.97347,0.46996,0.91259,0.000272313,0.000272313,0.000272313
59,42619.5,1.13498,0.62506,0.91885,0.96302,0.95225,0.98624,0.74074,0.97126,0.47016,0.91226,0.000266125,0.000266125,0.000266125
60,43260,1.14083,0.63189,0.91949,0.96035,0.95421,0.98543,0.73591,0.97562,0.47143,0.91236,0.000259938,0.000259938,0.000259938
61,43904.8,1.12598,0.62237,0.91715,0.9647,0.95099,0.98572,0.73673,0.97636,0.47012,0.91185,0.00025375,0.00025375,0.00025375
62,44545.8,1.13279,0.62533,0.9145,0.96218,0.95535,0.98608,0.73657,0.97301,0.4686,0.91183,0.000247563,0.000247563,0.000247563
63,45188.8,1.12698,0.62338,0.91719,0.96157,0.95509,0.98548,0.73364,0.97789,0.46495,0.91397,0.000241375,0.000241375,0.000241375
64,45835.3,1.12716,0.62359,0.91554,0.96431,0.95321,0.98642,0.73803,0.96819,0.4637,0.91036,0.000235188,0.000235188,0.000235188
65,46482.1,1.11737,0.61674,0.91291,0.96645,0.9524,0.98618,0.73724,0.97051,0.46198,0.91005,0.000229,0.000229,0.000229
66,54278.2,1.12139,0.61812,0.91435,0.96407,0.95626,0.98663,0.74386,0.95983,0.457,0.90648,0.000222813,0.000222813,0.000222813
67,54922.8,1.11623,0.61542,0.91088,0.96383,0.95942,0.98709,0.74621,0.95245,0.45499,0.90414,0.000216625,0.000216625,0.000216625
68,55562.6,1.11207,0.60992,0.91289,0.96466,0.95424,0.98636,0.74471,0.95478,0.45753,0.90567,0.000210437,0.000210437,0.000210437
69,56232.6,1.10688,0.6105,0.91132,0.96404,0.95578,0.98673,0.7443,0.95622,0.45531,0.90605,0.00020425,0.00020425,0.00020425
70,56938.8,1.10721,0.60461,0.91287,0.96152,0.96072,0.98715,0.74675,0.9521,0.45327,0.90507,0.000198063,0.000198063,0.000198063
71,57646.5,1.10343,0.60512,0.91088,0.96874,0.95641,0.98694,0.7479,0.94863,0.45212,0.90494,0.000191875,0.000191875,0.000191875
72,58357.1,1.09515,0.60362,0.90841,0.96454,0.95953,0.98731,0.7481,0.9489,0.44953,0.90553,0.000185688,0.000185688,0.000185688
73,59078.3,1.10254,0.60251,0.90796,0.96514,0.95802,0.98696,0.74797,0.94828,0.4502,0.90426,0.0001795,0.0001795,0.0001795
74,59815,1.09175,0.59964,0.90807,0.96552,0.9601,0.98745,0.74789,0.94626,0.44733,0.90353,0.000173313,0.000173313,0.000173313
75,60495.4,1.09325,0.59751,0.90712,0.96796,0.95907,0.98719,0.74731,0.94485,0.4451,0.90341,0.000167125,0.000167125,0.000167125
76,61208,1.08936,0.59306,0.90757,0.96697,0.96158,0.98759,0.75012,0.94196,0.44324,0.9025,0.000160938,0.000160938,0.000160938
77,61931.7,1.08981,0.59144,0.90713,0.96868,0.95885,0.98769,0.74889,0.94434,0.44485,0.9028,0.00015475,0.00015475,0.00015475
78,62644.4,1.08678,0.59191,0.9066,0.96857,0.95882,0.98786,0.7497,0.94451,0.442,0.90248,0.000148563,0.000148563,0.000148563
79,63357.6,1.08301,0.59093,0.90577,0.96672,0.96194,0.98782,0.74793,0.94984,0.44139,0.90438,0.000142375,0.000142375,0.000142375
80,64043.4,1.07625,0.58751,0.9072,0.96732,0.9606,0.98769,0.74855,0.94819,0.44216,0.90366,0.000136187,0.000136187,0.000136187
81,64682.3,1.08183,0.58579,0.90493,0.97012,0.95916,0.98808,0.751,0.9455,0.43889,0.9031,0.00013,0.00013,0.00013
82,65789.6,1.07833,0.58478,0.90481,0.96955,0.96162,0.98825,0.75131,0.94354,0.43805,0.90243,0.000123812,0.000123812,0.000123812
83,66867.1,1.07714,0.58273,0.90432,0.96857,0.96281,0.98836,0.7529,0.93973,0.43709,0.90087,0.000117625,0.000117625,0.000117625
84,67941.6,1.07345,0.57764,0.90642,0.9691,0.96276,0.98845,0.75339,0.93748,0.43608,0.90036,0.000111438,0.000111438,0.000111438
85,68959.5,1.06909,0.57877,0.9041,0.96995,0.96086,0.98831,0.75385,0.93542,0.43468,0.90005,0.00010525,0.00010525,0.00010525
86,69750,1.07485,0.58075,0.90207,0.97231,0.95948,0.98839,0.75307,0.9359,0.43407,0.89975,9.90625e-05,9.90625e-05,9.90625e-05
87,70404.9,1.06648,0.5742,0.90079,0.96999,0.96228,0.98837,0.75398,0.93374,0.43341,0.89951,9.2875e-05,9.2875e-05,9.2875e-05
88,71084.2,1.06029,0.57015,0.90121,0.97055,0.96193,0.98849,0.7552,0.93218,0.4325,0.89933,8.66875e-05,8.66875e-05,8.66875e-05
89,71779.4,1.06691,0.57133,0.90108,0.971,0.96112,0.98855,0.75602,0.93015,0.43197,0.89871,8.05e-05,8.05e-05,8.05e-05
90,72496.5,1.06143,0.5713,0.90144,0.97174,0.96025,0.98852,0.75697,0.93023,0.43174,0.89894,7.43125e-05,7.43125e-05,7.43125e-05
91,73154.4,1.05829,0.5132,0.91646,0.968,0.96088,0.98826,0.75669,0.92845,0.43497,0.8996,6.8125e-05,6.8125e-05,6.8125e-05
92,73817.2,1.05045,0.50554,0.91441,0.96672,0.9601,0.9878,0.75618,0.92837,0.43518,0.89993,6.19375e-05,6.19375e-05,6.19375e-05
93,74487.8,1.03868,0.503,0.91134,0.96582,0.96155,0.98795,0.75661,0.9259,0.43342,0.89897,5.575e-05,5.575e-05,5.575e-05
94,75147,1.03332,0.5011,0.90975,0.96755,0.9607,0.98795,0.75669,0.9241,0.43265,0.8984,4.95625e-05,4.95625e-05,4.95625e-05
95,75792.1,1.03378,0.49711,0.91044,0.96786,0.96185,0.98793,0.75627,0.92497,0.43194,0.89842,4.3375e-05,4.3375e-05,4.3375e-05
96,76501.8,1.02575,0.49641,0.90658,0.96891,0.96066,0.98804,0.75664,0.925,0.43146,0.89855,3.71875e-05,3.71875e-05,3.71875e-05
97,77203.9,1.02454,0.4927,0.90834,0.96895,0.96107,0.98804,0.75662,0.92441,0.43029,0.89829,3.1e-05,3.1e-05,3.1e-05
98,77884,1.02657,0.49324,0.9082,0.9686,0.96135,0.98813,0.75674,0.92402,0.43006,0.89802,2.48125e-05,2.48125e-05,2.48125e-05
99,78563.4,1.02048,0.49235,0.90786,0.96706,0.96328,0.9881,0.75777,0.92245,0.4296,0.89769,1.8625e-05,1.8625e-05,1.8625e-05
100,79244.3,1.01207,0.48604,0.90277,0.96682,0.96418,0.98806,0.7582,0.92123,0.42933,0.89729,1.24375e-05,1.24375e-05,1.24375e-05
