epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7473,1.6693,4.65885,1.22427,0.01762,0.66667,0.25304,0.09663,1.55262,4.59191,1.03451,0.000202206,0.000202206,0.000202206
2,63.44,1.56683,2.77559,1.06367,0.02465,0.98485,0.6357,0.31586,1.47156,3.49128,1.05646,0.000409184,0.000409184,0.000409184
3,93.5634,1.43345,2.25604,1.06477,0.4613,0.51515,0.54074,0.28637,1.46137,2.75724,1.10158,0.000614788,0.000614788,0.000614788
4,123.44,1.3946,2.00331,1.05477,0.51197,0.76599,0.61427,0.33642,1.46087,2.3573,1.16021,0.000618813,0.000618813,0.000618813
5,156.091,1.33203,1.9714,1.05335,0.53912,0.84007,0.64827,0.35611,1.47372,2.00221,1.20773,0.00061675,0.00061675,0.00061675
6,186.797,1.37718,1.82154,1.06331,0.47697,0.96633,0.65555,0.38897,1.45366,1.90727,1.16891,0.000614687,0.000614687,0.000614687
7,219.144,1.34016,1.75822,1.05205,0.5797,0.91077,0.69651,0.39077,1.3625,1.85879,1.13084,0.000612625,0.000612625,0.000612625
8,250.822,1.32755,1.71147,1.06449,0.56688,0.92156,0.72641,0.44152,1.29405,1.7591,1.11805,0.000610562,0.000610562,0.000610562
9,282.387,1.35097,1.65825,1.03681,0.56288,0.89562,0.74606,0.43297,1.36689,1.78381,1.14738,0.0006085,0.0006085,0.0006085
10,311.424,1.22165,1.59275,1.02386,0.74357,0.8367,0.86858,0.5376,1.35194,1.63856,1.13139,0.000606437,0.000606437,0.000606437
11,339.752,1.25297,1.55697,1.03126,0.61837,0.91164,0.84638,0.5016,1.35516,1.58819,1.14624,0.000604375,0.000604375,0.000604375
12,368.46,1.26644,1.57405,1.07804,0.77231,0.82155,0.88078,0.54763,1.29386,1.59289,1.1239,0.000602312,0.000602312,0.000602312
